Topic,Category,Level,Course name,Instructor,Course Code,Prerequisite,Prerequisite_2,Prerequisite 2,Prerequisite 2,Prerequsite 3 ,Prerequisite 4,Prerequisite 5,Prerequisite 6,Prerequisite 7,Prerequisite 8,Prerequisite 9,Prerequisite 10,Prerequisite 11,Priority in Website ,CSU Class,Best for (goal),URL Link,Online Link
R,Online Courses / In-person,Intermediate,Experimental Design/Analysis for Researchers,Ann Hess,STAR 514,"STAR 511 ORSTAT 511A, Graduate",,,,,,,,,,,,,1,,"Statistical methods for experimenters/researchers emphasizing deAnalysis of variance, covariance, randomized block, latin square, factorial, balanced and unbalanced designs. Applications to agriculture, biosciences. Implementation in R and JMP.sign and analysis of experiments using R software.
",https://catalog.colostate.edu/search/?search=STAR+514,https://online.colostate.edu/courses/STAR/STAR514.dot
AI,Online Courses / Structured Learning Paths,Advanced, Bioinformatics Algorithms,Asa Ben-Hur,CS 425,BZ 360 / CS 320 / CS 345,"BZ 110 / BZ 120 / LIFE 102 | CS 220, CS 165, MATH 156 | CS 220, CS 150B / CS 152 / CS 165 / DSCI 235, MATH 155 / MATH 156 / MATH 159 / MATH 160, STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315",BZ 110 / BZ 120 / LIFE 102,"CS 220, CS 165, MATH 156","CS 220, CS 150B / CS 152 / CS 165 / DSCI 235, MATH 155 / MATH 156 / MATH 159 / MATH 160, STAT 301 / STAT 302A / ECE 303 / STAT 303 / STAT 307 / STAT 315",,,,,,,,,1,Y,Using Machine Learning for DNA protein analysis,https://catalog.colostate.edu/search/?search=CS+525,https://online.colostate.edu/courses/CS/CS525.dot
AI,Online Courses / Structured Learning Paths,Intermediate, Analytics and AI in Business,Adela Chen,CIS 370,"CIS 200 , STAT 204",,,,,,,,,,,,,2,Y,Learning Introductory Machine Learning and Data analysis skills,https://catalog.colostate.edu/search/?search=CIS+370,https://online.colostate.edu/courses/CIS/CIS370.dot
AI,Online Courses / Structured Learning Paths,Intermediate, Analytics and AI in Business,Gaurav Jetley,CIS 370,"CIS 200 , STAT 204",,,,,,,,,,,,,3,Y,Learning Introductory Machine Learning and Data analysis skills,https://catalog.colostate.edu/search/?search=CIS/CIS370,https://online.colostate.edu/courses/CIS/CIS370.dot
AI,Online Courses / Structured Learning Paths,Intermediate, Analytics and AI in Business,Qahri-Saremi Hamed,CIS 370,"CIS 200 , STAT 204",,,,,,,,,,,,,2,Y,Learning Introductory Machine Learning and Data analysis skills,https://catalog.colostate.edu/search/?search=CIS/CIS370,https://online.colostate.edu/courses/CIS/CIS370.dot
AI,Online Courses / Structured Learning Paths,Advanced, AI/ML Product Management,Hemant Kavaida,CIS 577,CIS 370,"CIS 200 , STAT 204","CIS 200 , STAT 204",,,,,,,,,,,1,Y,Understanding how to use AI ethically in business ,https://catalog.colostate.edu/search/?search=CIS/CIS577,https://online.colostate.edu/courses/CIS/CIS577.dot
SQL,Online Courses / Structured Learning Paths,Advanced, Business Database Systems (Prereqs & Paywall) ,Aaron Baird,CIS 655,CIS 605 / CIS 611,,,,,,,,,,,,,1,Y,Developing database management and modeling skills ,https://catalog.colostate.edu/search/?search=CIS+655,https://online.colostate.edu/courses/CIS/CIS655.dot
Matlab,Online Courses / Structured Learning Paths,Intermediate, Design Analysis of Engineering Experiments,Jeremy Daily,ENGR 540,CIVE 203 / ECE 303 / STAT 301 / STAT 303 / STAT 315,CIVE 202  / MATH 261 | MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160. | MATH 261 |  MATH 155 / MATH 156 / MATH 159 / MATH 160. |  MATH 155 / MATH 156 / MATH 159 / MATH 160.,CIVE 202  / MATH 261,MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160.,MATH 261, MATH 155 / MATH 156 / MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160.,,,,,,,1,Y,Learning how to collect and analyze data for engineering projects,https://catalog.colostate.edu/search/?search=ENGR+540,https://online.colostate.edu/courses/ENGR/ENGR540.dot
N/A,Online Courses / Structured Learning Paths,Advanced, Modeling Watershed Hydrology (Paywall) ,Jeffrey Niemann,CIVE 524,"CIVE 203 / STAT 301 / STAT 315 , CIVE 522 / WR 416","CIVE 202  / MATH 261 | MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160. |  MATH 155 / MATH 156 / MATH 159 / MATH 160. | None | ESS 210 / GEOL 110 , GEOL 120 / GEOL 122 / GEOL 124 / GEOL 150 / GR 210 / SOCR 240 , (CIVE 202 / STAT 201 / STAT 301 / STAT 307 / STAT 315) , (PH 110 / PH 121 / PH 141",CIVE 202  / MATH 261,MATH 117 / MATH 118 / MATH 120 / MATH 124 / MATH 125 / MATH 126 / MATH 127 / MATH 141 / MATH 155 / MATH 159 / MATH 160., MATH 155 / MATH 156 / MATH 159 / MATH 160.,None,"ESS 210 / GEOL 110 , GEOL 120 / GEOL 122 / GEOL 124 / GEOL 150 / GR 210 / SOCR 240 , (CIVE 202 / STAT 201 / STAT 301 / STAT 307 / STAT 315) , (PH 110 / PH 121 / PH 141",,,,,,,,Y,Applying Modeling and Analysis to Watersheds,https://catalog.colostate.edu/search/?search=CIVE+524,https://online.colostate.edu/courses/CIVE/CIVE524.dot
HPC,Online Courses / Structured Learning Paths,Advanced, The Material Point Method,Paul Heyliger,CIVE 551, MATH 340,MATH 255 / MATH 261,MATH 255 / MATH 261,,,,,,,,,,,,Y,Learning to apply computational Programming to engeineering concepts ,https://catalog.colostate.edu/search/?search=CIVE+551,https://online.colostate.edu/courses/CIVE/CIVE551.dot
